GSE,title,oragnism,dataset_type,platform,number_of_samples,ftp,sra_run_selector,bioproject
GSE149893,A global data-driven census of Salmonella small proteins and their potential functions in bacterial virulence,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,,GPL20056,6,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE149nnn/GSE149893/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA630441,PRJNA630441
GSE142897,Robust partitioning of microRNA targets from downstream regulatory changes [AGO-eCLIP-seq],Homo sapiens,,GPL18573,6,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE142nnn/GSE142897/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA598733,PRJNA598733
GSE139131,Selective Translation Complex Profiling in yeast and human Reveals Staged Initiation and Co-translational  Assembly of Initiation Factor Complexes [Human],Homo sapiens,,['GPL20795'],6,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE139nnn/GSE139131/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA578565,PRJNA578565
GSE134541,Transcriptome-wide sites of collided ribosomes reveal sequence determinants of translational pausing in vivo,Mus musculus,,GPL17021,6,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE134nnn/GSE134541/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA555528,PRJNA555528
GSE138642,Stop Codon Context Influences Genome-Wide Stimulation of Termination Codon Readthrough by Aminoglycosides [Dataset 5],Homo sapiens,,GPL16791,6,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE138nnn/GSE138642/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA576653,PRJNA576653
GSE132008,Suppression of ribosomal pausing by eIF5A is necessary to maintain the fidelity of start codon selection (RNA-sequencing),Homo sapiens,,GPL18573,6,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE132nnn/GSE132008/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA545624,PRJNA545624
GSE132007,Suppression of ribosomal pausing by eIF5A is necessary to maintain the fidelity of start codon selection (Ribosome profiling),Homo sapiens,,GPL18573,6,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE132nnn/GSE132007/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA545625,PRJNA545625
GSE132441,Deficiency of mitoribosomal S10 protein affects translation and splicing in Arabidopsis mitochondria,Arabidopsis thaliana,,GPL17970,6,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE132nnn/GSE132441/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA548091,PRJNA548091
GSE137021,Temperature-dependent regulation of upstream open reading frame translation in s. cerevisiae,Saccharomyces cerevisiae,,GPL13821,6,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE137nnn/GSE137021/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA564290,PRJNA564290
GSE134517,A global overview of translation efficiency and ribosome occupancy at nucleotide resolution in HEK293 cells,Homo sapiens,,GPL18573,6,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE134nnn/GSE134517/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA556704,PRJNA556704
GSE122870,Translation complex profiling for bacteria [Ribo-seq],Escherichia coli str. K-12 substr. MG1655,,GPL21117,6,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE122nnn/GSE122870/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA506724,PRJNA506724
GSE124962,The landscape of mRNA translation in tomato roots,Solanum lycopersicum,,GPL25655,6,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE124nnn/GSE124962/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA514710,PRJNA514710
GSE105172,DHX36 resolves G-rich structures in mRNA untranslated region to allow their translation [Ribo-Seq],Homo sapiens,,GPL21290,6,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE105nnn/GSE105172/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA415033,PRJNA415033
GSE115159,Regulation of Translation Elongation Revealed by Ribosome Profiling [Dataset_2],Saccharomyces cerevisiae,,GPL17342,6,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE115nnn/GSE115159/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA473988,PRJNA473988
GSE102720,Ternary protein•drug•RNA interface explains RocA sequence selectivity and Aglaia resistance,Homo sapiens,,GPL20301,6,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE102nnn/GSE102720/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA398585,PRJNA398585
GSE118049,Protein Syndesmos is a novel RNA binding protein that regulates primary cilia formation [iCLIP-seq],Homo sapiens,,GPL18573,6,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE118nnn/GSE118049/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA484188,PRJNA484188
GSE117998,Protein Syndesmos is a novel RNA binding protein that regulates primary cilia formation [Ribo-seq],Homo sapiens,,GPL16791,6,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE117nnn/GSE117998/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA484185,PRJNA484185
GSE99827,Exhaustive profiling in Arabidopsis reveals abundant polysome-associated 24-nt small RNAs including hitherto undescribed AGO5-associated pseudogene-derived siRNAs (psiRNAs) [sRNA],Arabidopsis thaliana,,GPL17639,6,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE99nnn/GSE99827/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA389737,PRJNA389737
GSE96998,A Comprehensive Roadmap of the Mammalian Ribo-interactome Connects Metabolism Enzymes with Specialized ER-Ribosomes,Mus musculus,,GPL19057,6,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE96nnn/GSE96998/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA380363,PRJNA380363
GSE97717,Translation initiation from conserved non-AUG codons provides additional layers of regulation and coding capacity,Neurospora crassa,,GPL16164,6,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE97nnn/GSE97717/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA382718,PRJNA382718
GSE87328,eIF1 modulates the recognition of sub-optimal translation start sites and steers gene expression control mediated by uORFs,Homo sapiens,,GPL18573,6,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE87nnn/GSE87328/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA344393,PRJNA344393
GSE87892,Ribosome profiling of dhh1∆ yeast,Saccharomyces cerevisiae,,GPL19958,6,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE87nnn/GSE87892/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA348115,PRJNA348115
GSE69802,Insights into the adaptive stress response of Arabidopsis thaliana to thermal stress by ribosomal profiling,Arabidopsis thaliana,,GPL13222,6,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE69nnn/GSE69802/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA286795,PRJNA286795
GSE86466,Proteomic and genomic characterization of a yeast model for Ogden syndrome [RNA-seq and Ribo-seq],Saccharomyces cerevisiae,,GPL13821,6,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE86nnn/GSE86466/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA342004,PRJNA342004
GSE59093,DDX3X regulation of global translation is impaired by medulloblastoma-associated mutations [RNA-Seq],Homo sapiens,,GPL11154,6,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE59nnn/GSE59093/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA254363,PRJNA254363
GSE72996,"An integrated approach combining RNA-seq, Ribo-seq and Proteomics identifies the coding potential of Mycobacterium abscessus",Mycobacteroides abscessus ATCC 19977,,['GPL20910'],6,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE72nnn/GSE72996/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA295556,PRJNA295556
GSE71763,Ribosomal profiling of CRISPR edited and parental CHL-1 cell line,Homo sapiens,,GPL16791,6,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE71nnn/GSE71763/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA292020,PRJNA292020
GSE50870,A Serine Sensor for Multicellularity in a Bacterium,Bacillus subtilis subsp. subtilis NCIB 3610 = ATCC 6051 = DSM 10,,GPL26938,6,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE50nnn/GSE50870/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA219205,PRJNA219205
GSE37113,Transcriptome profiling for changes upon Lin28a knockdown in mouse embryonic stem cell (A3-1) [Affymetrix],Mus musculus,,GPL6246,6,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE37nnn/GSE37113/,,
GSE22002,"Analysis of HeLa cells after transfection with miR-1 or miR-155, by microarray profiling",Homo sapiens,,GPL570,6,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE22nnn/GSE22002/,,
GSE166408,Testing conditions for ribosome profiling in Drosophila melanogaster,Drosophila melanogaster,,GPL19132,5,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE166nnn/GSE166408/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA700841,PRJNA700841
GSE171640,RBMS1 regulates lung cancer progression,Homo sapiens,,GPL20795,5,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE171nnn/GSE171640/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA720396,PRJNA720396
GSE154491,Identification of translated small open reading frames in lymphocytes,Mus musculus,,GPL17021,5,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE154nnn/GSE154491/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA646476,PRJNA646476
GSE152556,Ribosome profiling analysis of aging human skeletal muscle (Ribo-Seq),Homo sapiens,,GPL16791,5,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE152nnn/GSE152556/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA639716,PRJNA639716
GSE152554,Ribosome profiling analysis of aging human skeletal muscle (RNA-Seq),Homo sapiens,,GPL18573,5,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE152nnn/GSE152554/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA639715,PRJNA639715
GSE167865,One-shot analysis of translated mammalian lncRNAs with AHARIBO,Mus musculus,,GPL17021,5,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE167nnn/GSE167865/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA705358,PRJNA705358
GSE104329,Ribosomal coverage with codon resulation in response to RPL12 siRNA treatment vs. no treatment,Homo sapiens,,GPL11154,5,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE104nnn/GSE104329/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA412370,PRJNA412370
GSE143331,FMRP Control of Ribosome Translocation Promotes Chromatin Modifications and Alternative Splicing of Neuronal Genes Linked to Autism (Hrt timecourse ribosome profiling),Mus musculus,,GPL9185,5,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE143nnn/GSE143331/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA600028,PRJNA600028
GSE120383,Ribosome profiling of MCF10A cells with tRNA-Tyr-GUA depletion by shRNA relative to shControl cells,Homo sapiens,,GPL18573,5,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE120nnn/GSE120383/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA492921,PRJNA492921
GSE110866,Identification and validation of GPD1 as an essential cancer stem cell specific target in glioblastoma (Ribosome profiling),Mus musculus,,GPL13112,5,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE110nnn/GSE110866/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA434716,PRJNA434716
GSE59094,DDX3X regulation of global translation is impaired by medulloblastoma-associated mutations [CLIP-Seq],Homo sapiens,,GPL11154,5,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE59nnn/GSE59094/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA254362,PRJNA254362
GSE74510,ASNase treatment in PC3 cells,Homo sapiens,,GPL16791,5,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE74nnn/GSE74510/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA300627,PRJNA300627
GSE72899,Clarifying the translational pausing landscape in bacteria by ribosome profiling,Escherichia coli str. K-12 substr. MG1655,,GPL18956,5,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE72nnn/GSE72899/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA295296,PRJNA295296
GSE52975,Integrative AUF1 PAR-CLIP analysis uncovers AUF1 roles in translation and genome integrity (RNA-Seq 2),Homo sapiens,,GPL9115,5,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE52nnn/GSE52975/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA230612,PRJNA230612
GSE201484,LncReader: identification of dual functional long non-coding RNAs using multi-head self-attention mechanism [Ribo-seq],Homo sapiens,,GPL20795,4,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE201nnn/GSE201484/,,
GSE193270,"Context-specific translation arrest by evernimicin, an inhibitor of tRNA accommodation",Escherichia coli,,GPL21222,4,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE193nnn/GSE193270/,,
GSE195480,Systemic Delivery of an AAV9 Exon Skipping Vector Significantly Improves or Prevents Features of Duchenne Muscular Dystrophy in the Dup2 Mouse Model,Mus musculus,,GPL13112,4,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE195nnn/GSE195480/,,
GSE184331,Nascent polypeptide within the exit tunnel stabilizes the ribosome to counteract risky translation,Escherichia coli,,GPL21433,4,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE184nnn/GSE184331/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA764085,PRJNA764085
GSE183471,Controlling tissue patterning by translational regulation of signaling transcripts through the core translation factor eIF3c [II],Mus musculus,,GPL19057,4,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE183nnn/GSE183471/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA760925,PRJNA760925
GSE184519,Ribosome profiling data of HEK293T cells treated with C13-benzamidyl cycloheximide,Homo sapiens,,['GPL15520'],4,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE184nnn/GSE184519/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA764910,PRJNA764910
GSE168878,Sequencing of RNA and footprints of wildtype and RpS5b mutant Drosophila ovaries [RIBO-seq],Drosophila melanogaster,,GPL17275,4,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE168nnn/GSE168878/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA714407,PRJNA714407
GSE173856,RiboDoc: a Docker-based package for ribosome profiling analysis,Saccharomyces cerevisiae,,GPL13821,4,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE173nnn/GSE173856/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA727314,PRJNA727314
GSE171265,ActD timecourse in mESCs,Mus musculus,,GPL19057,4,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE171nnn/GSE171265/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA718868,PRJNA718868
GSE155232,ActD timecourse in RAW264.7 cells,Mus musculus,,GPL19057,4,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE155nnn/GSE155232/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA649001,PRJNA649001
GSE175827,Function and Mechanism of METTL5-mediated 18S rRNA m6A1832 modification in hepatocellular carcinoma,Homo sapiens,,GPL20795,4,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE175nnn/GSE175827/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA734003,PRJNA734003
GSE164275,Context-specific action of macrolide antibiotics on the eukaryotic ribosome,Saccharomyces cerevisiae,,['GPL13821'],4,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE164nnn/GSE164275/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA689836,PRJNA689836
GSE167421,Structural basis of ribosomal frameshifting during translation of the SARS-CoV-2 RNA genome,Severe acute respiratory syndrome coronavirus 2,,GPL29767,4,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE167nnn/GSE167421/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA704627,PRJNA704627
GSE157361,Ebp1-selective ribosome profiling analysis of Neuro2a cells with Ebp1-immuno-precipitation,Mus musculus,,GPL21626,4,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE157nnn/GSE157361/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA661060,PRJNA661060
GSE155913,The translational landscape of phenylephrine-treated neonatal rat cardiomyocytes [ssRNA-seq],Rattus norvegicus,,GPL24688,4,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE155nnn/GSE155913/,,
GSE155899,The translational landscape of phenylephrine-treated neonatal rat cardiomyocytes [Ribo-seq],Rattus norvegicus,,GPL24688,4,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE155nnn/GSE155899/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA655955,PRJNA655955
GSE166874,Ribosome profiling reveals sequence-independent post-initiation pausing as a signature of translation,Homo sapiens,,GPL16791,4,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE166nnn/GSE166874/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA702160,PRJNA702160
GSE166695,Mutant huntingtin stalls ribosomes and represses protein synthesis in a cellular model of Huntington disease (mRNA-Seq),Mus musculus,,GPL19057,4,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE166nnn/GSE166695/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA701625,PRJNA701625
GSE160803,Genome wide analysis of mRNA expression and polysome profiling in DDX3 knockdown SAS cells,Homo sapiens,,GPL18573,4,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE160nnn/GSE160803/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA674567,PRJNA674567
GSE150439,Effect of QTRT2 KO  on mitochondrial translation,Homo sapiens,,GPL20301,4,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE150nnn/GSE150439/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA632042,PRJNA632042
GSE102375,Ribosome profiling of NIH-3T3 cells infected with MCMV,Mus musculus,,GPL13112,4,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE102nnn/GSE102375/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA397587,PRJNA397587
GSE144163,Ribosome profiling of ABCE1-knockout cells,Homo sapiens,,GPL18573,4,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE144nnn/GSE144163/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA602917,PRJNA602917
GSE148424,"Mechanism of translation inhibition by type II GNAT toxins: AtaT, TacT, and ItaT",Escherichia coli str. K-12 substr. MG1655,,GPL26592,4,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE148nnn/GSE148424/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA624163,PRJNA624163
GSE146240,Polysomes bypass a 50 nucleotide coding gap less efficiently than monosomes due to attenuation of an unstable 5’ mRNA stem loop stimulator and enhanced drop-off,Escherichia coli; Tequatrovirus T4,,['GPL14548'],4,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE146nnn/GSE146240/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA609751,PRJNA609751
GSE148245,HUMAN-VIRUS CHIMERIC PROTEINS GENERATED DURING INFECTION,Homo sapiens,,GPL20301,4,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE148nnn/GSE148245/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA623585,PRJNA623585
GSE145722,Genome-wide survey of ribosome collision [eif5A siRNA],Homo sapiens,,GPL20301,4,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE145nnn/GSE145722/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA607999,PRJNA607999
GSE133393,Genome-wide survey of ribosome collision [monosome/disome],Homo sapiens,,GPL20301,4,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE133nnn/GSE133393/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA551384,PRJNA551384
GSE133392,Defining codon-mediated mRNA decay and No-go decay in zebrafish embryos,Danio rerio,,GPL21741,4,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE133nnn/GSE133392/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA551383,PRJNA551383
GSE129061,Ribo-seq on K562 and HepG2 cells,Homo sapiens,,GPL18573,4,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE129nnn/GSE129061/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA529885,PRJNA529885
GSE144250,The Ccr4-Not complex monitors the translating ribosome for codon optimality,Saccharomyces cerevisiae,,GPL21656,4,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE144nnn/GSE144250/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA603124,PRJNA603124
GSE131408,The Ccr4-Not complex monitors the translating ribosome for codon optimality ,Saccharomyces cerevisiae,,GPL21656,4,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE131nnn/GSE131408/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA543493,PRJNA543493
GSE143691,Super-enhancer redistribution as a mechanism of broad gene dysregulation in repeatedly drug-treated cancer cells [dataset 3],Homo sapiens,,['GPL11154'],4,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE143nnn/GSE143691/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA601312,PRJNA601312
GSE143623,Deregulation of ribosomal protein expression and translation promotes breast cancer metastasis [ribo-Seq BRx142],Homo sapiens,,GPL18573,4,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE143nnn/GSE143623/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA601135,PRJNA601135
GSE131214,RQT complex dissociates ribosomes collided on endogenous RQC substrate SDD1,Saccharomyces cerevisiae,,GPL21656,4,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE131nnn/GSE131214/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA542921,PRJNA542921
GSE138639,Stop Codon Context Influences Genome-Wide Stimulation of Termination Codon Readthrough by Aminoglycosides [Dataset 2],Homo sapiens,,GPL16791,4,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE138nnn/GSE138639/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA576650,PRJNA576650
GSE138599,eIF1 discriminates against suboptimal initiation sites to prevent excessive uORF translation genome-wide,Saccharomyces cerevisiae,,GPL17342,4,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE138nnn/GSE138599/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA576487,PRJNA576487
GSE110867,Identification and validation of GPD1 as an essential cancer stem cell specific target in glioblastoma (RNA-seq: NSC vs BTSC),Mus musculus,,GPL13112,4,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE110nnn/GSE110867/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA434717,PRJNA434717
GSE122971,Multifaceted stoichiometry control of bacterial operons revealed by data-independent acquisition mass spectrometry,Escherichia coli BW25113,,['GPL25852'],4,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE122nnn/GSE122971/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA507085,PRJNA507085
GSE119903,"Genome-wide transcriptome analysis of brain region (ventral part of telenchephalon, hypothalamus and pituitary) in medaka [Ribo-Seq]",Oryzias latipes,,GPL23308,4,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE119nnn/GSE119903/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA490651,PRJNA490651
GSE122129,Retapamulin-assisted Ribo-seq reveals the alternative bacterial proteome,Escherichia coli,,GPL14548,4,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE122nnn/GSE122129/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA503765,PRJNA503765
GSE112305,Post-transcriptional regulation of the epithelial cell response to colitis,Homo sapiens,,GPL16791,4,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE112nnn/GSE112305/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA445600,PRJNA445600
GSE115647,The LIN28B-IMP1 post-transcriptional regulon has opposing effects on oncogenic  signaling in the intestine,Homo sapiens,,GPL16791,4,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE115nnn/GSE115647/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA475675,PRJNA475675
GSE102216,Ribosome profiling analysis of heat effect on rice,Oryza sativa,,GPL19290,4,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE102nnn/GSE102216/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA397035,PRJNA397035
GSE112353,Active ribosome profiling  with RiboLace and standard ribosome profiling in HEK-293 cells,Homo sapiens,,GPL16791,4,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE112nnn/GSE112353/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA445733,PRJNA445733
GSE119655,Small is big in Arabidopsis mitochondrial ribosome,Arabidopsis thaliana,,GPL19580,4,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE119nnn/GSE119655/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA489863,PRJNA489863
GSE118239,Cancer associated mRNAs regulated by the Helix Loop Helix motif of human EIF3A,Homo sapiens,,GPL11154,4,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE118nnn/GSE118239/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA484941,PRJNA484941
GSE116982,Cancer associated mutants of eIF1A impair Rps3/Rps10 binding and enhance scanning of cell cycle genes [Mars-seq],Mus musculus,,GPL19057,4,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE116nnn/GSE116982/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA480788,PRJNA480788
GSE116981,Cancer associated mutants of eIF1A impair Rps3/Rps10 binding and enhance scanning of cell cycle genes [Ribo-Seq],Mus musculus,,GPL17021,4,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE116nnn/GSE116981/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA480786,PRJNA480786
GSE100373,The RNA-binding protein Hfq is important for ribosome biogenesis and affects translation fidelity,Escherichia coli,,GPL14548,4,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE100nnn/GSE100373/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA391480,PRJNA391480
