Accession	Organism	Samples	Type	Platform	Title	Year	Summary	Link	Paper_title	Journal	Impact factor 2018	doi or pubmed id	All references	Type of molecule	BioProject link (NCBI)	BioProject link (EBI)	SRA
GSE114636	Homo sapiens	12	Expression profiling by high throughput sequencing; Other	GPL16791	Comprehensive profiling of translation initiation in influenza-virus infected cells	2018-05-18	Cellular stress is often accompanied by non-canonical initiation of translation at alternate start codons in mammalian cells. Here we systematically investigate the extent and impact of alternate translation initiation in the context of influenza virus infection. We use ribosome profiling with the initiation inhibitor lactidomycin to experimentally delineate translation initiation sites in a human lung epithelial cell line infected with influenza virus.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE114636	Comprehensive profiling of translation initiation in influenza virus infected cells.	PLoS pathogens	6.463	https://doi.org/10.1371/journal.ppat.1007518	{PLoS pathogens (6.463): 10.1371/journal.ppat.1007518}	'total RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA472015	https://www.ebi.ac.uk/ena/browser/view/PRJNA472015	https://www.ncbi.nlm.nih.gov/sra?term=SRP148422
GSE97384	Homo sapiens	18	Expression profiling by high throughput sequencing; Other	GPL11154	mTORC1 balances cellular amino acid supply with demand for protein synthesis through post-transcriptional control of ATF4	2017-04-04	The mammalian target of rapamycin complex 1 (mTORC1) is a master regulator of cell growth that is commonly deregulated in human diseases. Here we find that mTORC1 controls a transcriptional program encoding amino acid transporters and metabolic enzymes through a mechanism also used to regulate protein synthesis. Bioinformatic analysis of mTORC1-responsive mRNAs identified a promoter element recognized by activating transcription factor 4 (ATF4), a key effector of the integrated stress response. ATF4 translation is normally induced by phosphorylation of eukaryotic initiation factor 2 alpha (eIF2α) through a mechanism that requires upstream open reading frames (uORFs) in the ATF4 5' UTR. mTORC1 also controls ATF4 translation through uORFs, but independent of changes in eIF2α phosphorylation. mTORC1 instead employs the 4E-binding protein (4E-BP) family of translation repressors. These results link mTORC1-regulated demand for protein synthesis with an ATF4-regulated transcriptional program that controls the supply of amino acids to the translation machinery.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE97384	mTORC1 Balances Cellular Amino Acid Supply with Demand for Protein Synthesis through Post-transcriptional Control of ATF4.	Cell reports	7.815	https://doi.org/10.1016/j.celrep.2017.04.042	{Cell reports (7.815): 10.1016/j.celrep.2017.04.042}	'total RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA381596	https://www.ebi.ac.uk/ena/browser/view/PRJNA381596	https://www.ncbi.nlm.nih.gov/sra?term=SRP103009
GSE67902	Homo sapiens	12	Other; Expression profiling by high throughput sequencing	GPL11154	Regulation of protein translation during mitosis	2015-04-15	Entry into and exit from mitosis is driven by precisely-timed changes in protein abundance, and involves transcriptional regulation and protein degradation. However, the role of translational regulation in modulating cellular protein content during mitosis remains poorly understood. Here, using ribosome profiling, we show that translational, rather than transcriptional regulation is the dominant mechanism for modulating protein synthesis at mitotic entry. The vast majority of regulated mRNAs are translationally repressed, which contrasts previous findings of selective mRNA translational activation at mitotic entry. One of the most pronounced translationally repressed genes in mitosis is Emi1, an inhibitor of the anaphase promoting complex (APC), which is degraded during mitosis. We show that Emi1 degradation is insufficient for full APC activation and that simultaneous translational repression is required. These results provide a genome-wide view of protein translation during mitosis and suggest that translational repression may be used to ensure complete protein inactivation	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE67902	Regulation of mRNA translation during mitosis.	eLife	7.551	https://doi.org/10.7554/eLife.07957	{eLife (7.551): 10.7554/eLife.07957}	'total RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA281177	https://www.ebi.ac.uk/ena/browser/view/PRJNA281177	https://www.ncbi.nlm.nih.gov/sra?term=SRP057253
GSE159210	Homo sapiens	38	Other	GPL16791	Relaxed initiation pausing of ribosomes drives oncogenic translation	2020-10-07	Using quantitative profiling of initiating ribosomes, we found that ribosomal pausing at the start codon serves as a “brake” to restrain the translational output. In response to oncogenic RAS signaling, the initiation pausing relaxes and contributes to the increased translational flux. Intriguingly, mRNA m6A modification in the vicinity of start codons influences the behavior of initiating ribosomes. Under oncogenic RAS signaling, the reduced mRNA methylation leads to relaxed initiation pausing, thereby promoting malignant transformation and tumor growth. Restored initiation pausing by inhibiting m6A demethylases suppresses RAS-mediated oncogenic translation and subsequent tumorigenesis. Our findings unveil a new paradigm of translational control that is co-opted by RAS mutant cancer cells to drive malignant phenotypes.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE159210	Relaxed initiation pausing of ribosomes drives oncogenic translation.	Science advances	12.804	https://doi.org/10.1126/sciadv.abd6927	{Science advances (12.804): 10.1126/sciadv.abd6927}	'total RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA667952	https://www.ebi.ac.uk/ena/browser/view/PRJNA667952	https://www.ncbi.nlm.nih.gov/sra?term=SRP286677
GSE132725	Homo sapiens	8	Expression profiling by high throughput sequencing; Other	GPL21290	Transcriptome and ribosome profiling of XRN1-null HEK293T human cell line generated by CRISPR/Cas9 gene editing	2019-06-13	XRN1 is the major cytoplasmic exoribonuclease in eukaryotes, which degrades deadenylated and decapped mRNAs in the last step of the 5′–3′ mRNA decay pathway. Metazoan XRN1 interacts with decapping factors coupling the final stages of decay. Ribosome profiling revealed that XRN1 loss impacts not only on mRNA levels but also on the translational efficiency of many cellular transcripts likely as a consequence of incomplete decay. We compared differentially expressed genes derived from the analysis of the transcriptome and the translatome of HEK293T wild-type (WT) and XRN1-null cells by RNA-Seq and Ribo-Seq, respectively. Two biological replicates of each cell line were analyzed. The RNA-Seq analysis indicated that a substantial fraction of the total 10,105 genes showed significant differences between the two cell lines. 2,906 genes were significantly upregulated whilst 2,900 genes were downregulated using a fold change >0 on log2 scale with an FDR<0.005 to determine abundance. Significantly fewer genes showed differences between the WT and the XRN1-null cells at the level of translation with 433 genes showing an increase in abundance of ribosomal footprints whilst 560 genes were decreased as indicated by the Ribo-Seq analysis. Comparative analysis of translational efficiency (TE) in WT and XRN1-null cells on a genome-wide scale as a ratio of ribosomal occupancy to mRNA abundance identified an increase in TE for 102 genes but a decrease for 598 genes with most of the genes showing no evidence of change in the TE.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE132725	A low-complexity region in human XRN1 directly recruits deadenylation and decapping factors in 5'-3' messenger RNA decay.	Nucleic acids research	11.147	https://doi.org/10.1093/nar/gkz633	{Nucleic acids research (11.147): 10.1093/nar/gkz633}	'total RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA548813	https://www.ebi.ac.uk/ena/browser/view/PRJNA548813	https://www.ncbi.nlm.nih.gov/sra?term=SRP201395
GSE84746	Saccharomyces cerevisiae	19	Expression profiling by high throughput sequencing; Other	GPL17143; GPL19958	Dual randomization of oligonucleotides to reduce the bias in ribosome-profiling libraries	2016-07-22	Protein translation is at the heart of cellular metabolism and its in-depth characterization is key for many lines of research. Recently, ribosome profiling became the state-of-the-art method to quantitatively characterize translation dynamics at a transcriptome-wide level. However, the strategy of library generation affects its outcomes. Here, we present a modified ribosomeprofiling protocol starting from yeast, human cells and vertebrate brain tissue. We use a DNA linker carrying four randomized positions at its 5’ and a reverse-transcription (RT) primer with three randomized positions to reduce artifacts during library preparation. The use of seven randomized nucleotides allows to efficiently detect library-generation artifacts. We find that the effect of polymerase chain reaction (PCR) artifacts is relatively small for global analyses when sufficient input material is used. However, when input material is limiting, our strategy improves the sensitivity of gene-specific analyses. Furthermore, randomized nucleotides alleviate the skewed frequency of specific sequences at the 3’ end of ribosome-protected fragments (RPFs) likely resulting from ligase specificity. Finally, strategies that rely on dual ligation show a high degree of gene-coverage variation. Taken together, our approach helps to remedy two of the main problems associated with ribosome-profiling data. This will facilitate the analysis of translational dynamics and increase our understanding of the influence of RNA modifications on translation.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE84746	Dual randomization of oligonucleotides to reduce the bias in ribosome-profiling libraries.	Methods (San Diego, Calif.)	3.782	https://doi.org/10.1016/j.ymeth.2016.07.011	{Methods (San Diego, Calif.) (3.782): 10.1016/j.ymeth.2016.07.011}	'total RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA330982	https://www.ebi.ac.uk/ena/browser/view/PRJNA330982	https://www.ncbi.nlm.nih.gov/sra?term=SRP079402
GSE150439	Homo sapiens	4	Non-coding RNA profiling by high throughput sequencing	GPL20301	Effect of QTRT2 KO  on mitochondrial translation	2020-05-12	Mitochondria are organelles that generate most of the energy in eukaryotic cells in the form of ATP via oxidative phosphorylation in eukaryote. Twenty-two species of mitochondrial (mt-)tRNAs encoded in mtDNA are required to translate essential subunits of the respiratory chain complexes involved in oxidative phosphorylation. mt-tRNAs contain post-transcriptional modifications introduced by nuclear-encoded tRNA-modifying enzymes. These modifications are required for deciphering genetic code accurately, as well as stabilizing tRNA. Loss of tRNA modifications frequently results in severe pathological consequences. We performed a comprehensive analysis of post-transcriptional modifications of all human mt-tRNAs, including 14 previously-uncharacterized species, and revised the modification status of some of the previously studied species. In total, we found 17 kinds of RNA modifications at 137 positions (8.7% in 1,575 nucleobases) in 22 species of human mt-tRNAs. An up-to-date list of 34 genes responsible for human mt-tRNA modifications are provided. We here demonstrated that both QTRT1 and QTRT2 are required for biogenesis of queuosine (Q) at position 34 of four mt-tRNAs. Our results provide insight into the molecular mechanisms underlying the mitochondrial decoding system, and could help to elucidate the molecular pathogenesis of human mitochondrial diseases caused by aberrant tRNA modifications.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE150439	Complete chemical structures of human mitochondrial tRNAs.	Nature communications	11.878	https://doi.org/10.1038/s41467-020-18068-6	{Nature communications (11.878): 10.1038/s41467-020-18068-6}	'total RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA632042	https://www.ebi.ac.uk/ena/browser/view/PRJNA632042	https://www.ncbi.nlm.nih.gov/sra?term=SRP261344
GSE133111	Homo sapiens	12	Expression profiling by high throughput sequencing	GPL11154	Ribosome profiling of A549 cells depleted of RPLP1 and RPLP2 and infected with DENV.	2019-06-20	We used ribosome profiling to evaluate viral and cellular translation in RPLP1/2-depleted cells. This revealed that ribosomes pause in the sequence coding for the N-terminus of the envelope protein, immediately downstream of sequences encoding two adjacent transmembrane domains (TMDs). RPLP1/2 function to enhance ribosome elongation at this position and increase viral protein stability, possibly by improving co-translational folding of DENV proteins. We also analyzed the effects of RPLP1/2 depletion on cellular translation. We find that RPLP1/2 moderately affects ribosome density for a small subset of cellular mRNAs. However, meta-analysis of ribosome positions on all cellular mRNAs revealed slightly increased accumulation of ribosomes downstream of start codons in RPLP1/2-depleted cells, suggesting that RPLP1/2 enhance elongation efficiency. Importantly, we found that ribosome density on mRNAs encoding multiple TMDs was disproportionately affected by RPLP1/2 knockdown, suggesting a role for RPLP1/2 in transmembrane protein biogenesis. Together, our findings reveal insights into the function of RPLP1/2 in DENV and cellular translation.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE133111	None	None	None	None	None	'total RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA549955	https://www.ebi.ac.uk/ena/browser/view/PRJNA549955	https://www.ncbi.nlm.nih.gov/sra?term=SRP202033
GSE140639	Homo sapiens	2	Expression profiling by high throughput sequencing; Other	GPL20301	Genome-wide survey of ribosome collision [anisomycin]	2019-11-19	In protein synthesis, ribosome movement is not always smooth, rather often impeded by numerous reasons. Although the deceleration of ribosome defines the fates of the mRNAs and the synthesizing proteins, fundamental questions remain to be addressed including where ribosomes pause in mRNAs, what kind of RNA/amino acid context causes the pausing, and how physiologically significant the slowdown of protein synthesis is. Here we surveyed the position of ribosome collisions, caused by ribosome pausing, at a genome-wide level using the modified ribosome profiling in human and zebrafish. The collided ribosomes, i.e. disome, emerge at various sites; the proline-proline-lysine motif, stop codons, and 3′ UTR. The number of ribosomes in a collision is not limited to two, rather four to five, forming a queue of ribosomes. Especially, XBP1, a key modulator of unfolded protein response, shows striking queues of collided ribosomes thus acts as a substrate for ribosome-associated quality control (RQC) to avoid the accumulation of undesired proteins in the absence of stress. Our results provide an insight into the causes and the consequences of ribosome slowdowns by dissecting the specific architecture of ribosomes.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE140639	Genome-wide Survey of Ribosome Collision.	Cell reports	7.815	https://doi.org/10.1016/j.celrep.2020.107610	{Cell reports (7.815): 10.1016/j.celrep.2020.107610}	'total RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA590355	https://www.ebi.ac.uk/ena/browser/view/PRJNA590355	https://www.ncbi.nlm.nih.gov/sra?term=SRP230602
GSE49310	Candida albicans	96	Expression profiling by high throughput sequencing	GPL15645	The Transcriptional Stress Response of Candida albicans to Weak Organic Acids	2013-07-29	Candida albicans is the most important fungal pathogen of humans, causing severe infections especially in nosocomial and immunocompromised settings. However, it is also the most prevalent fungus of the normal human microbiome, where it shares its habitat with hundreds of trillions of other microbial cells. Despite weak organic acids (WOAs) being among the most abundant metabolites produced by bacterial microbiota, little is known about their effect on C. albicans. Here we employed a sequencing-based profiling strategy to systematically investigate the transcriptional stress response of C. albicans to lactic, acetic, propionic and butyric acid at several time points after treatment. Our data reveal a complex transcriptional response, with individual WOAs triggering unique gene expression profiles and with important differences between acute and chronic exposure. In spite of all these dissimilarities, we found significant overlaps between the gene expression changes induced by each WOA, which lead us to uncover a core transcriptional signature that was unrelated to the general response to low pH. Genes commonly up-regulated by WOAs were enriched in several iron transporters, which was associated with an overall decrease in intracellular iron concentrations. Moreover, chronic exposure to any WOA lead to down-regulation of RNA synthesis and ribosome biogenesis genes, which resulted in significant reduction of total RNA levels in general and of ribosomal RNA in particular. In conclusion, this study suggests that GI microbiota might directly influence C. albicans physiology via production of WOAs, with possible implications of how this fungus interacts with its hosts in both health and disease.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE49310	The transcriptional stress response of Candida albicans to weak organic acids.	G3 (Bethesda, Md.)	2.63	https://doi.org/10.1534/g3.114.015941	{G3 (Bethesda, Md.) (2.630): 10.1534/g3.114.015941}	'total RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA213618	https://www.ebi.ac.uk/ena/browser/view/PRJNA213618	https://www.ncbi.nlm.nih.gov/sra?term=SRP028297
GSE153346	Homo sapiens; Drosophila melanogaster	35	Expression profiling by high throughput sequencing	GPL18573; GPL19132	TRIBE editing reveals specific mRNA targets of eIF4E-BP in Drosophila and in mammals	2020-06-26	4E-BP (eIF4E-BP) represses translation initiation by binding to the 5’cap-binding protein eIF4E and inhibiting its activity. Although 4E-BP has been shown to be important in growth control, stress response, cancer, neuronal activity and mammalian circadian rhythms, it is not understood how it preferentially represses a subset of mRNAs. We successfully used hyperTRIBE (Targets of RNA-binding proteins identified by editing) to identify in vivo 4E-BP mRNA targets in both Drosophila and mammals under conditions known to activate 4E-BP. The protein associates with specific mRNAs, and ribosome profiling data show that mTOR inhibition changes the translational efficiency of 4E-BP TRIBE targets compared to non-targets. In both systems, these targets have specific motifs and are enriched in translation-related pathways, which correlate well with the known activity of 4E-BP and suggest that it modulates the binding specificity of eIF4E and contributes to mTOR translational specificity.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE153346	TRIBE editing reveals specific mRNA targets of eIF4E-BP in <i>Drosophila</i> and in mammals.	Science advances	12.804	https://doi.org/10.1126/sciadv.abb8771	{Science advances (12.804): 10.1126/sciadv.abb8771}	'total RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA642123	https://www.ebi.ac.uk/ena/browser/view/PRJNA642123	https://www.ncbi.nlm.nih.gov/sra?term=SRP269009
GSE59385	Homo sapiens	12	Expression profiling by array	GPL10558	The zinc finger protein ZNF658 regulates the transcription of genes involved in zinc homeostasis and affects ribosome biogenesis through the zinc transcriptional regulatory element (ZTRE)	2014-07-14	We previously identified the ZTRE in genes involved in zinc homeostasis and showed that it mediates transcriptional repression in response to zinc. We now report that ZNF658 acts at the ZTRE. ZNF658 was identified by MALDI-TOF mass spectrometry of a band excised after EMSA using a ZTRE probe. The protein contains a KRAB domain and 21 zinc fingers. It has similarity with ZAP1 from Saccharomyces cerevisiae, which regulates the response to zinc restriction, including a conserved DNA binding region we show to be functional also in ZNF658. siRNA targeted to ZNF658 abrogated the zinc-induced, ZTRE-dependent reduction in SLC30A5 (ZnT5), SLC30A10 (ZnT10) and CBWD transcripts in human Caco-2 cells and the ability of zinc to repress reporter gene expression from corresponding promoter-reporter constructs. Microarray analysis of the effect of reducing ZNF658 expression by siRNA uncovered large changes in rRNA. We find that ZTREs are clustered within the 45S rRNA precursor. We also saw effects on expression of multiple ribosomal proteins. ZNF658 thus links zinc homeostasis with ribosome biogenesis, the most active transcriptional, and hence zinc-demanding, process in the cell. ZNF658 is thus a novel transcriptional regulator that plays a fundamental role in the orchestrated cellular response to zinc availability.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE59385	The zinc finger protein ZNF658 regulates the transcription of genes involved in zinc homeostasis and affects ribosome biogenesis through the zinc transcriptional regulatory element.	Molecular and cellular biology	3.735	https://doi.org/10.1128/MCB.01298-14	{Molecular and cellular biology (3.735): 10.1128/MCB.01298-14}	'total RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA255227	https://www.ebi.ac.uk/ena/browser/view/PRJNA255227	None
GSE123539	Homo sapiens	18	Expression profiling by high throughput sequencing; Other	GPL20301	Ribosomal protein RPL26 is the principal target of UFMylation	2018-12-10	UFM1 is a small, metazoan-specific, ubiquitin-like protein modifier that is essential for embryonic development. Although loss-of-function mutations in UFM1 conjugation are linked to ER stress, neither the biological function nor the relevant cellular targets of this protein modifier are known. Here we show that a largely uncharacterized ribosomal protein, RPL26, is the principal target of UFM1 conjugation. RPL26 UFMylation and deUFMylation is catalyzed by enzyme complexes tethered to the cytoplasmic surface of the ER and UFMylated RPL26 is highly enriched on ER membrane-bound ribosomes and polysomes. Biochemical analysis and structural modeling establish that UFMylated RPL26 and the UFMylation machinery are in close proximity to the SEC61 translocon, suggesting that this modification plays a direct role in cotranslational protein translocation into the ER. These data suggest that UFMylation is a ribosomal modification specialized to facilitate metazoan-specific protein biogenesis at the ER.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE123539	Ribosomal protein RPL26 is the principal target of UFMylation.	Proceedings of the National Academy of Sciences of the United States of America	9.58	https://doi.org/10.1073/pnas.1816202116	{Proceedings of the National Academy of Sciences of the United States of America (9.580): 10.1073/pnas.1816202116}	'total RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA509149	https://www.ebi.ac.uk/ena/browser/view/PRJNA509149	https://www.ncbi.nlm.nih.gov/sra?term=SRP173217
GSE94384	Homo sapiens	14	Expression profiling by high throughput sequencing	GPL11154	RNA sequencing of primary human platelets and in vitro cell lines	2017-02-01	Platelets are anucleate cytoplasmic fragments that lack genomic DNA, but continue to synthesize protein using a pool of mRNAs, ribosomes, and regulatory small RNAs inherited from the precursor megakaryocyte (MK). The regulatory processes that shape the platelet transcriptome and the full scope of platelet translation have remained elusive. Using RNA-Seq and ribosome profiling of primary human platelets, we show the platelet transcriptome encompasses a subset of transcripts detected by RNA-Seq analysis of in vitro derived MK cells and these platelet-enriched transcripts are broadly occupied by ribosomes. We use RNA sequencing of synchronized populations of in vitro derived platelet-like particles (PLPs) to show that mRNA decay strongly shapes the nascent platelet transcriptome. Our data suggests that the decay of platelet mRNAs is slowed by the natural loss of the mRNA surveillance and ribosome rescue factor Pelota (PELO).	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE94384	Slowed decay of mRNAs enhances platelet specific translation.	Blood	16.562	https://doi.org/10.1182/blood-2016-08-736108	{Blood (16.562): 10.1182/blood-2016-08-736108}	'total RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA369543	https://www.ebi.ac.uk/ena/browser/view/PRJNA369543	https://www.ncbi.nlm.nih.gov/sra?term=SRP098699
GSE70270	Homo sapiens	32	Expression profiling by array; Other	GPL18190	Assessment of mTOR-Dependent Translational Regulation of Interferon Stimulated Genes	2015-06-25	Type-I interferon (IFN)-induced activation of the mammalian target of rapamycin (mTOR) signaling pathway has been implicated in translational control of mRNAs encoding interferon-stimulated genes (ISGs). However, mTOR-sensitive translatomes commonly include mRNAs with a 5’ terminal oligopyrimidine tract (TOP), such as those encoding ribosomal proteins, but not ISGs. Because these translatomes were obtained under conditions when ISG expression is not induced, we examined the mTOR-sensitive translatome in human WISH cells stimulated with IFNβ. The mTOR inhibitor Torin1 resulted in a repression of global protein synthesis, including that of ISG products, and translation of all but 3 ISG mRNAs (TLR3, NT5C3A, and RNF19B) was not selectively more sensitive to mTOR inhibition. Detailed studies of NT5C3A revealed an IFN-induced change in transcription start site resulting in a switch from a non-TOP to a TOP-like transcript variant and mTOR sensitive translation. Thus, we show that, in the cell model used, translation of the vast majority of ISG mRNAs is not selectively sensitive to mTOR activity and describe an uncharacterized mechanism wherein the 5’-UTR of an mRNA is altered in response to a cytokine, resulting in a shift from mTOR-insensitive to mTOR-sensitive translation.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE70270	Assessment of mTOR-Dependent Translational Regulation of Interferon Stimulated Genes.	PloS one	2.776	https://doi.org/10.1371/journal.pone.0133482	{PloS one (2.776): 10.1371/journal.pone.0133482}	'total RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA288136	https://www.ebi.ac.uk/ena/browser/view/PRJNA288136	None
GSE129061	Homo sapiens	4	Expression profiling by high throughput sequencing	GPL18573	Ribo-seq on K562 and HepG2 cells	2019-03-29	Deep sequencing methods have matured to comprehensively detect the full set of transcribed loci, but there is a gap to determine the function of the resulting highly complex transcriptomes. To this end, we have developed a new approach named ORFquant to annotate and quantify translation at the single open reading frame (ORF) level using Ribo-seq data.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE129061	Quantification of translation uncovers the functions of the alternative transcriptome.	Nature structural & molecular biology	12.109	https://doi.org/10.1038/s41594-020-0450-4	{Nature structural & molecular biology (12.109): 10.1038/s41594-020-0450-4}	'total RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA529885	https://www.ebi.ac.uk/ena/browser/view/PRJNA529885	https://www.ncbi.nlm.nih.gov/sra?term=SRP189887
GSE149973	Homo sapiens; Chlorocebus aethiops aethiops; Severe acute respiratory syndrome coronavirus 2	26	Expression profiling by high throughput sequencing; Other	GPL28488; GPL28866; GPL28867	Decoding SARS-CoV-2 coding capacity	2020-05-06	SARS-CoV-2 is a coronavirus responsible for the COVID-19 pandemic. Although the SARS-CoV-2 trascriptome was reported recently, its coding capacity and the relative production of different viral proteins remained unclear. Utilizing a suit of ribosome profiling techniques, we present a high resolution map of the SARS-CoV-2 coding regions.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE149973	The coding capacity of SARS-CoV-2.	Nature	43.07	https://doi.org/10.1038/s41586-020-2739-1	{Nature (43.070): 10.1038/s41586-020-2739-1}	'total RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA630716	https://www.ebi.ac.uk/ena/browser/view/PRJNA630716	https://www.ncbi.nlm.nih.gov/sra?term=SRP260279
GSE14335	Homo sapiens	10	Expression profiling by array	GPL571	Whole genome profiling of fibroblasts from Diamond-Blackfan Anemia patients	2009-01-08	Diamond-Blackfan Anemia (DBA) is a rare inherited red cell hypoplasia characterized by a defect in the maturation of erythroid progenitors and is in some cases associated to malformations. Patients have an increased risk of solid tumors. Mutations have been found in several ribosomal protein (RP) genes. Studies in hematopoietic progenitors from patients show that the haploinsufficiency of an RP impairs rRNA processing and ribosome biogenesis. DBA lymphocytes and fibroblasts show reduced protein synthesis, and the latter display abnormal rRNA processing and impaired proliferation. To evaluate the involvement of non-hematopoietic tissues in DBA, we have analyzed global gene expression in fibroblasts from DBA patients compared to healthy controls. Microarray expression profiling using Affymetrix GeneChip Human Genome U133A 2.0 Arrays revealed that 421 genes are statistically significantly differentially expressed in DBA patients' fibroblasts relative to controls. These genes include a large cluster of ribosomal proteins and factors involved in protein synthesis and amino acid metabolism, as well as genes with roles in cell death, cancer and tissue development. Our results report for the first time into abnormal expression in a non-hematopoietic cell type in DBA, and support the hypothesis that DBA may be due to a defect in general or specific protein synthesis. Keywords: Disease state analysis.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE14335	Fibroblasts from patients with Diamond-Blackfan anaemia show abnormal expression of genes involved in protein synthesis, amino acid metabolism and cancer.	BMC genomics	3.501	https://doi.org/10.1186/1471-2164-10-442	{BMC genomics (3.501): 10.1186/1471-2164-10-442}	'total RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA111515	https://www.ebi.ac.uk/ena/browser/view/PRJNA111515	None
GSE101760	Homo sapiens	16	Expression profiling by high throughput sequencing; Other	GPL16791; GPL23822	Viral infection identifies micropeptides differentially regulated in smORF-containing lncRNA	2017-07-21	We use genome-wide high-throughput methods to identify potential micropeptides in smORF containing lncRNA involved in the immune response. Using influenza as a viral infection model, we performed RNAseq and ribosome profiling to track expression and translation of putative lncRNAs that encode for peptides and identify tens of potential candidates.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE101760	Viral Infection Identifies Micropeptides Differentially Regulated in smORF-Containing lncRNAs.	Genes	3.331	https://doi.org/10.3390/genes8080206	{Genes (3.331): 10.3390/genes8080206}	'total RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA395384	https://www.ebi.ac.uk/ena/browser/view/PRJNA395384	https://www.ncbi.nlm.nih.gov/sra?term=SRP113333
GSE68435	Schizosaccharomyces pombe	12	Expression profiling by array	GPL2529	Yeast m6A methylated mRNAs are enriched on translating ribosomes during meiosis, and under Rapamycin treatment	2015-04-30	Interest in mRNA methylation has exploded in recent years. The sudden interest in a 40 year old discovery was due in part to the recent finding of FTO?s (Fat Mass Obesity) N6-methyl-adenosine (m6A) deaminase activity, thus suggested a link between obesity-associated diseases and the presence of m6A in mRNA. Another catalyst of the sudden rise in mRNA methylation research was the release of mRNA methylomes for human, mouse and Saccharomyces cerevisiae. However, the molecular function, or functions of this mRNA ?epimark? remain to be discovered. There is supportive evidence that m6A could be a mark for mRNA degradation due to its binding to YTH domain proteins, and consequently being chaperoned to P bodies. Nonetheless, only a subpopulation of the methylome was found binding to YTHDF2 in HeLa cells. The model organism Saccharomyces cerevisiae, has only one YTH domain protein (Pho92, Mrb1), which targets PHO4 transcripts for degradation under phosphate starvation. However, mRNA methylation is only found under meiosis inducing conditions, and PHO4 transcripts are apparently non-methylated. In this paper we set out to investigate if m6A could function alternatively to being a degradation mark in S. cerevisiae, we also sought to test whether it can be induced under non-standard sporulation conditions. We find associations between the presence of m6A and message translatability. We also find m6A induction following prolonged rapamycin treatment.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE68435	Yeast m6A Methylated mRNAs Are Enriched on Translating Ribosomes during Meiosis, and under Rapamycin Treatment.	PloS one	2.776	https://doi.org/10.1371/journal.pone.0132090	{PloS one (2.776): 10.1371/journal.pone.0132090}	'total RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA282733	https://www.ebi.ac.uk/ena/browser/view/PRJNA282733	None
